ZrO2/Cu-0.1,10.1038/s41467-020-19634-8,"Nat. Commun. 2020, 11: 5767",2020,220,3,3,"48,000",(W),5,70,0.524,Cu
FSP-Cu/SiO2,10.1021/acscatal.0c04371,"ACS Catal. 2020, 10, 14694–14706",2020,190,3,3,"2,040",(G),5.2,79,,Cu
Cu-ZnO-ZrO2,10.1016/j.jcou.2020.101215,"J. CO 2 Util. 2020, 41, 101215",2020,250,3,3,"24,000",(W),9,45,0.319,Cu
Cu-ZnO-ZrO2,10.1016/j.chempr.2019.10.023,"Chem, 2020, 6, 419-430",2020,240,3,1,18000,(W),3.9,50.6,0.125,Cu
Cu/AlCeO,10.1016/j.cattod.2019.01.015,"Catal. Today, 2020, 339, 352-361",2020,260,3,3,"14,400",(W),23.7,22,0.381,Cu
CuZnZr/CuBr2,10.1016/j.jcat.2020.05.023,"J. Catal. 2020, 389, 47-59",2020,250,5,3,3000,(W),10.7,97.1,,Cu
CuO/ZnO-400,10.1002/ente.202000194,"Energy Technol. 2020, 8, 2000194",2020,260,3,3,"12,000",(W),18.5,41.7,0.300,Cu
 Cu1In2Zr4-O,10.1021/acs.iecr.9b06956,"Ind. Eng. Chem. Res. 2020, 59, 12331–12337",2020,300,2,3,"12,000",(W),12.8,72.8,,Cu
Cu/In-ZrO2-8,10.1016/j.apcata.2020.117805,"Appl. Catal. A, 2020, 605, 117805",2020,220,3,3,"18,000",(W),2.8,88.6,0.154,Cu
Cu/MgO/ZnO (CMZ-20HT),10.1016/j.apcata.2021.118239,"Appl. Catal. A: General, 2021, 623, 118239",2021,200,5,3,7200,(W),8.7,99,0.205,Cu
Cu/CeO2,10.1016/j.fuel.2021.121289,"Fuel, 2021, 303, 121289",2021,280,3,3,2400,(W),8,78,,Cu
0.5% CuZnZr,10.1016/j.jcat.2020.11.039,"J. Catal., 2021, 393, 207–214",2021,290,4.5,3,10800,(W),9.5,76,,Cu
Cu/Mo2CTx/SiO2,10.19061/iochem-bd-6-100,"Nat. Catal., 2021, 4, 860–871",2021,230,2.5,3,,,3.4,52,,Cu
FSP-Cu/ZrO2 ,10.1039/D1CC02784K,"Chem. Commun., 2021,57, 7509-7512",2021,260,3,3,"4,800",(W),6.49,70.9,2.000,Cu
CZZ/MVmSiO2,10.1002/adfm.202102896,"Adv. Funct. Mater. 2021, 31, 2102896",2021,280,3,3,"18,000",(W),,33,0.072,Cu
Cu-ZnO/Al2O3-ZrO2 (2.3:1:2.5:1.1)(CZAZ-8),10.1021/acsaem.1c01542,"ACS Appl. Energy Mater. 2021, 13, 28201-28213",2021,240,5,3,"7,800",(W),14.5,76,0.279,Cu
